"","Astrocyte","Endothelial","Ependymal","Excitatory","Inhibitory","Microglia","OD Immature","OD Mature","Pericytes"
"spot14",1.03143746536091e-08,2.32739027811527e-09,5.6581368811579e-09,0.176123801034483,0.618690656518707,1.60119753881576e-09,0.151408441405954,0.0537770798484545,1.29130236852155e-09
"spot15",0.0737362615026635,1.12163697282289e-08,0.00080008194077784,0.219885656798215,0.507028803211872,1.8338203252375e-09,0.198114399312179,3.2905473379315e-09,0.000434780893555563
"spot16",2.57246467113667e-08,1.08141625427705e-08,3.47508280085791e-08,0.142917694286936,0.763954591577177,5.37676103251636e-08,1.62503149290935e-08,0.0931275679688033,4.85952087587685e-09
"spot17",0.190130507754541,3.73432820018566e-09,1.85660089958876e-08,0.386221927336623,0.423647531561386,3.65017899764703e-09,3.44081437736769e-09,2.39222434236502e-09,1.56389537873926e-09
"spot18",4.62273089129314e-07,0.26251268140038,8.75848487103744e-07,4.78121851289238e-07,0.547094736148126,0.190390246021205,1.62459434345202e-07,2.51811444430029e-07,1.05915983324643e-07
"spot19",1.35648204213598e-07,8.24568052260824e-08,1.43515366333729e-07,0.387464741377769,0.612534013333317,9.4383284630825e-08,1.74495054717821e-07,9.63190589884759e-08,5.18471140313418e-07
"spot20",9.40765417088198e-09,0.00761620125587426,8.72306557677219e-09,2.86009094169733e-08,0.422384754072419,4.9145740854233e-09,7.90616882763302e-09,0.569998982233047,2.88628748583083e-09
"spot21",1.59466594695437e-08,6.6741777108646e-09,1.82439544402657e-08,0.221913917374783,0.77808602009645,4.02591463977887e-09,8.03624399503502e-09,5.45559925753065e-09,4.14621753974959e-09
"spot22",0.401538083516012,1.75838758312159e-07,0.0104252734993998,1.67065710308245e-07,0.034824818349823,2.06814071907423e-07,1.23337479474422e-07,0.551314197363324,0.00189695421542068
"spot23",0.124869013593875,0.198550878766078,1.49611042653515e-07,0.145748751083417,0.397589960277444,1.65005787001331e-08,3.34700837099094e-08,0.13284394700799,0.000397249689491756
"spot24",1.99542689352701e-07,0.129084492612757,1.61234559958583e-07,0.0792861656989138,0.28360956376785,0.115027467017939,0.206329775210859,0.186662134710106,4.02043254381722e-08
"spot25",0.308084861826071,7.21889638794664e-08,4.26929137307627e-08,0.136187254218182,0.402509313047662,2.95425004126328e-08,1.43223812260766e-08,0.152993303148915,0.000225109012410896
"spot26",3.45541485136843e-08,0.00412117386891679,4.37376164631508e-08,0.723908633748338,4.50423049108459e-07,1.63530387671754e-08,0.269737149598997,1.24973144497871e-08,0.00223248521858107
"spot27",4.68197458356799e-09,7.52593361309014e-10,5.1901068335623e-09,0.0517025783276509,0.945207870412828,9.84756482231515e-10,0.00249004472395063,5.66829564394369e-10,0.000599494359309134
"spot28",0.129656192576855,0.21652237812937,5.3728185685271e-10,0.0297041259356598,0.271933506057193,0.0181232721962858,0.334060523947398,2.53087624864956e-10,3.66868195464576e-10
"spot29",0.295599982467032,6.88547377942979e-09,3.4993817697568e-08,0.386065338300038,0.302048190136219,1.91259788453054e-09,0.016286434429522,9.79181920447124e-09,1.08348034560937e-09
"spot30",0.805875908830493,3.11844080465691e-09,2.11354536788629e-08,1.97287485754919e-08,0.172402879718435,0.0213250543987822,4.92415380051356e-09,1.25295603280059e-08,0.000396095615931948
"spot31",0.0682093622889676,0.00336259815935668,1.05835926768875e-07,0.290303494153845,0.637377483977107,1.26133758078116e-08,2.65903916451518e-08,0.000581887022146825,0.000165029358882656
"spot32",2.13794245484474e-09,0.0584879265179889,1.18112781795674e-08,0.0940595208026685,0.498188682139859,0.150389257794621,5.53426087451157e-10,0.198874597915296,3.26919443817594e-10
"spot33",0.0697140880763713,0.393562002576661,2.93263052003622e-07,4.95089416727629e-07,0.527482692810801,0.00229860264357063,1.53151748162401e-07,0.00694157150025272,1.00888126642061e-07
"spot34",0.0138359768552712,3.36489364420986e-08,0.0024307772783971,9.57919129221362e-08,0.859897278575728,8.66316679017673e-09,0.109283917383431,0.014551903059654,8.74350165574258e-09
"spot35",0.0207209310675659,7.73338660868499e-10,6.429947675138e-09,0.233080236491088,0.738696813593287,8.5661974527079e-10,9.36682294964544e-10,0.00335653393436181,0.00414547591710955
"spot36",2.32150119685156e-07,2.1703139722991e-07,4.38664328618092e-07,0.997403195537033,1.0598521465256e-06,1.39929837463468e-07,1.55211731092368e-07,0.00259444997950719,1.11643899666095e-07
"spot37",1.16277686639565e-06,0.275665825121525,0.0123657659315401,0.244060413009853,0.467906099850717,1.16867996828777e-07,2.80704869106252e-07,1.88656116542812e-07,1.4708051519257e-07
"spot38",6.22516703467148e-09,2.11446155608878e-09,6.27193710708862e-08,0.486907938392343,0.330586402633119,3.25815371829212e-09,0.182505578660543,4.72872093313505e-09,1.26812100827783e-09
"spot39",0.366547847645194,9.59526792074319e-10,5.62062478429732e-09,0.57866925078742,0.0547828910733157,1.00882482280284e-09,1.35568201631949e-09,1.02360371039209e-09,5.25808536310024e-10
"spot40",0.294597515927426,7.13439686615343e-08,3.41110679052081e-07,0.20700756887109,4.22641209810928e-07,0.256300155979134,1.74661618043258e-07,0.241941506151514,0.000152243313359446
"spot41",0.0824000316962219,2.14955487987317e-07,0.0125839176427089,3.23721828879848e-07,0.672130624813019,2.57490812021227e-07,1.65631842733237e-07,0.23197103438698,0.000913429661099204
"spot42",5.30158306359599e-09,3.23952619373714e-10,1.21244982351932e-08,0.0736146663222876,0.926385314404738,3.64272037278277e-10,5.40669137546873e-10,4.55317384146847e-10,1.62681726568056e-10
"spot43",0.0359494434639457,0.000365778971965703,0.00034403426584406,0.00331885557168365,0.922240057683702,0.000200708020863781,0.0375810729197363,4.37912056390096e-08,5.31105326210981e-09
"spot44",0.134535980095925,2.60465801703645e-09,1.12610556631293e-08,0.127446531196805,0.714315000747753,0.00276249775680273,0.000611163525708754,0.0203288095271854,3.28410689789909e-09
"spot45",0.176823052033403,4.98445543458911e-09,0.120095846811676,2.96701360206405e-08,0.702933060913269,0.000147993369552676,5.763306947203e-09,4.37217947769058e-09,2.08202173053761e-09
"spot46",2.51713771984015e-09,0.481081848923621,7.74852248646237e-09,2.67104417061922e-09,0.31761958857254,9.00153101273927e-10,0.201298526785523,2.09785696855507e-08,9.02889000345033e-10
"spot47",6.00788698795132e-09,4.31069602153824e-09,8.76491897120024e-09,0.0652987513260924,0.934618369648059,2.60166888886803e-09,4.28368659865417e-09,8.28507685103417e-05,2.28848043923272e-09
"spot48",0.0970282201328871,0.00891847706524969,3.16322855423164e-07,0.1694062721472,0.63612887330131,0.000939160824471015,1.21269115123899e-07,0.0875785237143849,3.52225269316918e-08
"spot49",8.57299667289916e-08,0.129409044922416,3.91331435743492e-08,0.433466853446347,0.437123932239377,1.0995693465174e-08,1.48629171693878e-08,9.18395311495661e-09,9.48618620730639e-09
"spot50",0.174123547823302,0.0565772145960002,9.21982496960206e-09,3.85555292893696e-09,0.61734259512503,8.09859441995516e-10,1.39755209021111e-09,0.151956625872035,1.30084336008706e-09
"spot52",2.70392281309083e-09,1.13513857246592e-09,2.56744621701897e-09,0.408304292791459,0.587938420967826,3.38433781046561e-09,0.00375727397541515,2.03771693031933e-09,4.36738018944055e-10
"spot53",1.10063050486093e-08,2.90812444182385e-09,0.156030181322402,2.70998778197116e-08,0.840817253590081,0.00315247772725123,9.14260685896969e-09,2.9435238208317e-08,7.76811351198577e-09
"spot54",0.563747257652253,0.260279753210819,2.6946593505668e-09,4.06246877954265e-09,0.142268599808042,0.00181892467748206,7.85963626368217e-09,0.0318854487713383,1.26330084776868e-09
"spot55",0.0997148427878509,6.08805756554303e-10,9.06466313272527e-09,2.95340283913782e-08,0.898572167030653,0.00171294908849046,7.44667270590122e-10,8.13510417225728e-10,3.27330911549616e-10
"spot56",0.0653931519416068,0.28647499143558,0.0253532665049478,0.0367645466505824,0.495125307838659,8.81000999352879e-05,0.0109420911932524,1.58001875526886e-08,0.0798585285352493
"spot57",3.45646743637528e-09,0.109202008652693,7.21736191847391e-09,6.05436456899617e-09,0.475630509799824,8.76376266990404e-10,1.38316724090876e-09,0.415167461770704,7.89041730846309e-10
"spot58",5.06172339545228e-09,1.93988713100611e-09,2.18634019139807e-08,0.0812320090738025,0.917102252983995,0.001665701217606,2.59445687083263e-09,4.19575080671967e-09,1.06937601241749e-09
"spot59",1.47060983166889e-08,0.661642254272382,8.99319237755164e-09,3.78026765568495e-09,0.242581970896207,5.64933688995348e-08,0.0152496240307911,2.1041903524104e-09,0.0805260647235018
"spot60",2.87587301770351e-09,4.61992740438773e-10,4.44939998690725e-09,0.312016595031135,0.399516132898139,0.145435349757029,0.0242411401390404,0.118790772587592,1.79979879935738e-09
"spot61",2.61424219811261e-08,7.30076853160076e-09,5.05587145823584e-08,0.0973951832866399,0.731670769521869,1.21186580632099e-08,0.170933923506967,1.69049655136937e-08,1.06589953536886e-08
"spot62",0.237451132538126,9.74246164990529e-10,2.89406374304594e-09,0.0452250657110248,0.507116190391178,0.194308236938842,0.0158993679840087,2.19159530976934e-09,3.76916129512638e-10
"spot63",0.0298669917171623,6.87628972669506e-08,0.0438134178324921,0.198009843849541,0.625212301437059,5.78613068742979e-08,0.10309721590884,7.80095949915516e-08,2.46211059679129e-08
"spot64",9.43985037657089e-10,3.21829577549276e-10,1.91214557628349e-09,0.183585505857042,0.77265321201098,0.00194157935659581,0.0379703003022285,6.98238132761973e-10,0.00384939859695535
"spot65",0.0582779267864586,0.193202084374426,3.53209290573752e-09,5.91832909651468e-09,0.567731653689005,0.180788321700403,1.81163647796944e-09,1.57051182590039e-09,6.17137595854405e-10
"spot66",0.437343119396298,9.10356710819914e-08,1.82052362505935e-06,0.235853713027213,0.308652442436525,0.0163203756711741,3.05294984535597e-07,1.35578079802172e-07,0.00182799703642935
"spot67",9.41071501435469e-10,6.57980246303017e-10,1.20096706476224e-09,2.96477296263455e-09,0.999999989148102,7.55854902728531e-10,1.82478108797067e-09,1.87588193932344e-09,6.30588420522341e-10
"spot68",5.55218448529276e-07,1.07551759647095e-07,4.62530449599494e-07,7.48056995719679e-07,0.962465444036454,0.00487944137982406,0.00823118623561017,0.0242269179215165,0.000195137068941993
