,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot872,0.09589602442113013,0.0717326337365965,0.08562164745351898,0.23172181992590618,0.21307652166075344,0.1078552222021646,0.09490032415330789,0.05536392062836391,0.04383188581825827
spot873,0.11501539317957836,0.16030994554264721,0.0936305546584587,0.1378001617745975,0.1465191443578671,0.10219057642984695,0.10776826133255686,0.07479048511581406,0.06197547760863319
spot874,0.12832292458932448,0.14127052501203516,0.09572619521963183,0.160621377746588,0.16139484537172077,0.08435720031284394,0.10476977465368023,0.0716830272217735,0.051854129872402066
spot875,0.10226662531480822,0.07586433742842746,0.08706576574307844,0.15178666162607252,0.1537031280052522,0.08012672024309553,0.15863442115122076,0.1439926092385956,0.04655973124944925
spot876,0.132698085986444,0.08154050691665335,0.09475878829283745,0.19018597416076902,0.18634462799735918,0.0807129067596425,0.10957144097895646,0.07837691418961565,0.04581075471772236
spot877,0.1162391616602116,0.0815780023814795,0.08187307324148,0.23682849829558647,0.19287258309620858,0.07524519686751656,0.11135732715404491,0.059792804887438745,0.04421335241603364
spot878,0.10877198973231954,0.07623992815476864,0.0938237145292301,0.19310882217238032,0.22609526852794687,0.07943563181999154,0.10124750035990526,0.0671290110894198,0.05414813361403812
spot880,0.10659497986485385,0.07991897498639788,0.12168022747531097,0.18540316788123828,0.17269055460440955,0.11491698848851188,0.09467496862012362,0.0774280328342717,0.04669210524488229
spot881,0.09759157715681124,0.0794266361241528,0.09023838771469189,0.23276730818378064,0.2058961847626561,0.08411480104488202,0.10498690080908109,0.05998196566494846,0.04499623853899564
spot882,0.1467240794875851,0.08373070512430524,0.0941584267855232,0.20044971462410177,0.17523200281337825,0.08700168648305383,0.10052711381563015,0.06695023149456586,0.04522603937185658
spot883,0.09540161775224448,0.07171775814793421,0.09863084208384462,0.2670284385677055,0.18276724657187712,0.08172427490373026,0.1006208066621694,0.048665155114568606,0.053443860195925674
spot884,0.10343744257187074,0.07752604921950704,0.09436955059701653,0.21915239411428541,0.17898937906573595,0.09888899565506132,0.10338079078753162,0.07183478462017798,0.05242061336881337
spot885,0.13699604938475127,0.08787691954603757,0.10861764057382062,0.18376016035601814,0.16909113196089923,0.08221590117182057,0.10865954997081784,0.06337145628598603,0.05941119074984883
spot886,0.15359914113654896,0.09206519611325764,0.09325155994825819,0.14423836743528404,0.13142928858064248,0.07818277497205908,0.15037091468362213,0.1012176951557779,0.055645061974549596
spot887,0.12987612274954052,0.07803017249110994,0.10715344518937533,0.19925145463139313,0.17664811792584542,0.08110075972715308,0.11756744145380127,0.05979316267509103,0.05057932315669024
spot888,0.09075483010591358,0.07291539333179954,0.0839288817967585,0.2664676053504357,0.22115345299592562,0.07305564973288033,0.10305231875651266,0.044909232523206104,0.04376263540656804
spot889,0.09578586768104426,0.0789135052068343,0.0884179986165076,0.23921623516273113,0.22264993411069556,0.07757623065132566,0.1037615676285425,0.049503564308287215,0.04417509663403202
spot890,0.12243365574497153,0.0796930590780829,0.09542975170719671,0.17388427268179202,0.15330325526522648,0.0789431266700848,0.17093081016952533,0.06773801703335335,0.05764405164976686
spot891,0.11441708121136722,0.09236193066942754,0.09220692055250716,0.16187753482757772,0.18650749774839956,0.0785885759374218,0.14679138857923746,0.07185659454527117,0.05539247592879054
spot892,0.11910387483415244,0.0813985890404151,0.0930507942329072,0.18598114508744057,0.1528420208857325,0.07698677512030244,0.16706910921066423,0.06736393565358136,0.056203755934804256
spot893,0.09704800809565248,0.08105517951598333,0.07158075167876844,0.18601589038034672,0.15457277114744336,0.06425333145590842,0.23467882897218473,0.06229197371525436,0.04850326503845801
spot894,0.11675732570797404,0.07761205852756119,0.08869033251596221,0.20855469411705405,0.21208029860389166,0.07879753974965294,0.09164598721186888,0.07614091956346274,0.049720844002572304
spot895,0.13451127430787674,0.17407378840566265,0.07932826212067283,0.05586555070808362,0.05895243782820552,0.08828550252244542,0.05299190055760966,0.2943459397379891,0.06164534381145439
spot896,0.0887354468833564,0.38825428635173365,0.09604736725133267,0.06892658075458984,0.0733576331566785,0.061872973180476534,0.05812100440188254,0.08133000769270227,0.08335470032724762
spot897,0.0991513410767454,0.07408394156713934,0.08821599955236978,0.2578058516375711,0.19630527973589298,0.08097634615295514,0.10007019954768155,0.05333629280220966,0.05005474792743513
spot898,0.12164395661818618,0.10598449303734861,0.08687173352371692,0.1971129028437415,0.15670831214571831,0.07824559745736916,0.10168536882123937,0.06823111063895607,0.08351652491372395
spot899,0.11825140853438691,0.08358074574510753,0.08849180437233745,0.06585236272810964,0.06324929028845144,0.06412536799405151,0.07050019926549282,0.1611565023051025,0.2847923187669602
spot900,0.09256963396782932,0.07879804934326368,0.08303443445211453,0.25952048254956145,0.2098620394579295,0.07088913475223511,0.09549596934753554,0.05732721193548116,0.05250304419404967
spot901,0.10589432471074008,0.11131029217374262,0.09903022407117636,0.21207699205258984,0.17257647531812786,0.07567607387327947,0.10666951754645922,0.05944969694689904,0.05731640330698544
spot902,0.1636544295333588,0.08746683408882673,0.09488580986582705,0.19383356207212804,0.16074350566609416,0.07930403153218457,0.10589467478899968,0.06683909814257127,0.047378054310009556
spot903,0.0914446328289487,0.07542856265187503,0.07813832993429139,0.3054360052591639,0.184683428626151,0.07605022666931245,0.0910916518580482,0.0575633646168885,0.040163797555320874
spot904,0.09888139364351758,0.0795518179943528,0.09346980552712385,0.2481312904033054,0.17808339781930893,0.08197977539011107,0.09856439416925059,0.07154487364686853,0.049793251406161226
spot905,0.11342007705023914,0.08179246562097787,0.08748827176417903,0.19608941492549128,0.16164973335141208,0.07223595105040036,0.10575701329402701,0.13082250189532493,0.05074457104794841
spot906,0.11358130312413527,0.07834141322589422,0.09653564971400162,0.24656778091934803,0.18507195724629227,0.07618852837010377,0.09090677061988434,0.06536617787989334,0.04744041890044706
