,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot69,1.6635208e-06,1.4473106e-05,3.3277963e-06,0.04424902,0.9557198,2.597395e-06,4.20735e-06,2.9104822e-06,1.9621516e-06
spot70,2.6075402e-06,3.7492146e-06,2.9629618e-06,0.026074996,0.9577483,0.003370508,0.006568247,8.821083e-06,0.0062197866
spot71,3.3429765e-06,0.0075881933,5.058604e-06,0.45280126,0.5395825,5.516178e-06,3.3723059e-06,3.897254e-06,6.8780832e-06
spot72,2.936432e-06,0.10782313,4.734406e-06,0.2912824,0.59826773,5.861668e-06,0.00013339016,0.002477958,1.9237775e-06
spot73,2.823788e-06,1.303166e-05,3.6628367e-06,0.45870498,0.49595508,2.1921694e-06,0.03251452,0.012799054,4.6095042e-06
spot74,2.0860448e-06,8.7105445e-06,1.7518377e-06,0.49759376,0.4956431,3.8803505e-06,2.6509166e-05,6.026219e-06,0.006714218
spot75,1.8604217e-06,0.097461715,1.8282088e-06,0.00029232574,0.7223536,1.960463e-06,0.17792217,1.0357351e-06,0.0019634266
spot76,1.6700094e-06,0.0017847627,4.1407407e-06,9.766221e-06,0.98352444,0.0062490534,4.3578795e-05,9.861218e-06,0.008372817
spot77,0.5970663,1.2227514e-05,1.2638632e-05,2.9292765e-05,0.3612928,4.120806e-05,0.0076514226,6.2082145e-05,0.033831887
spot78,8.203046e-05,0.09574164,1.9067144e-05,0.80057037,1.8495257e-05,0.10354967,9.691248e-06,5.9274025e-06,3.0756123e-06
spot79,0.013397481,7.0629153e-06,2.2688917e-05,0.04078948,0.87702566,0.0036344763,0.013730698,0.051389977,2.4557248e-06
spot80,0.12285119,0.6532507,4.621316e-06,0.013064916,0.18406741,0.026716815,6.813238e-06,3.4548037e-05,3.0134443e-06
spot81,0.10102273,6.297819e-06,5.756108e-06,1.5710404e-05,1.7535222e-05,0.004735966,0.2780718,0.616122,2.2002866e-06
spot82,0.024029039,0.054945037,8.828706e-06,0.74082625,0.000119617995,0.000571823,0.08045877,0.049064014,0.049976725
spot83,0.1520846,9.868571e-06,1.591824e-05,0.56918377,0.25544134,2.170828e-06,5.324205e-06,0.02325216,4.8121233e-06
