"","ligand","target","weight"
"206","PSEN1","VEGFA",0.0189402480373403
"207","APP","LAMC2",0.0470373421385341
"208","CLDN1","AREG",0.0485690136200586
"209","CLDN1","CXCL1",0.047455836750278
"210","JAG2","VEGFA",0.0184006255477629
"211","LFNG","VEGFA",0.0134132378909878
"212","MMP7","VEGFA",0.0230920688570737
"213","CD320","VEGFA",0.0128256761626067
"214","NUCB2","VEGFA",0.0121460249858138
"215","TSPAN3","VEGFA",0.0137063431292737
"216","CD2","VEGFA",0.0190222529347399
"217","SERPINE2","AREG",0.00722151015603396
"218","SERPINE2","VEGFA",0.0181127483999319
"219","ANG","VEGFA",0.0177747397732231
"220","HLA-DRB1","VEGFA",0.0147396577559372
"221","MDK","VEGFA",0.0192244909254088
"222","MFNG","GNAS",0.0127284838038181
"223","MFNG","VEGFA",0.0217906589602272
"224","FURIN","AREG",0.0473424225114405
"225","FURIN","TGM2",0.0466026726928048
"226","LTB","HLA-B",0.0721335359774972
"227","LTB","LAMC2",0.0743286308114211
"228","PLTP","VEGFA",0.0113112555018166
"229","BACE2","VEGFA",0.019380825846564
"230","VEGFA","CXCL1",0.180148903593666
"231","ICAM2","VEGFA",0.0199117812062532
"232","IFITM1","VEGFA",0.0248941034000235
"233","PAM","VEGFA",0.0222472666572551
"234","ADGRE5","VEGFA",0.0146967220901252
"235","PDGFD","VEGFA",0.134033466789532
"236","CD6","VEGFA",0.0301315483831913
"237","LTBP3","IFITM1",0.0101566363989668
"238","LTBP3","VEGFA",0.0134684633816032
"239","CKLF","VEGFA",0.0259561768021117
