"","spot_1","spot_2","spot_3","spot_4","spot_5","spot_6","spot_7","spot_8","spot_9","spot_10","spot_11","spot_12","spot_13","spot_14","spot_15","spot_16","spot_17","spot_18","spot_19","spot_20","spot_21","spot_22","spot_23","spot_24","spot_25","spot_26","spot_27","spot_28","spot_29","spot_30","spot_31","spot_32","spot_33","spot_34","spot_35","spot_36","spot_37","spot_38","spot_39","spot_40","spot_41","spot_42","spot_43","spot_44","spot_45","spot_46","spot_47","spot_48","spot_49","spot_50","spot_51","spot_52","spot_53","spot_54","spot_55","spot_56","spot_57","spot_58","spot_59","spot_60","spot_61","spot_62","spot_63","spot_64","spot_65","spot_66","spot_67","spot_68","spot_69"
"Sntg1",0,1,1,2,3,0,5,5,4,2,3,1,3,3,2,1,2,3,1,3,1,2,1,1,3,0,3,0,0,2,2,1,2,3,2,0,0,0,2,3,0,2,1,1,2,1,0,0,2,0,2,0,1,0,0,0,0,3,1,3,0,0,2,0,1,1,1,2,0
"Rrs1",0,0,3,3,0,2,0,2,2,0,1,0,3,3,0,2,3,0,3,3,1,2,2,4,0,4,1,3,1,2,1,3,0,1,2,3,2,4,1,2,1,3,2,5,4,1,2,1,1,1,1,3,2,4,3,0,1,1,1,1,4,0,1,2,1,0,1,2,2
"Adhfe1",0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,1,3,0,1,0,0,1,1,2,1,1,2,1,0,0,1,2,0,1,2,1,0,1,0,4,0,1,1,0,0,0,1,0,1,0,3,0,1,1,0,1,0,0,2,0,2,0,3,1,2,2,3,5,3
"Vcpip1",0,1,3,3,3,2,1,1,2,4,0,1,3,0,0,3,4,4,3,3,3,6,3,2,4,1,2,0,2,1,1,4,1,5,1,2,2,6,0,2,4,3,2,3,3,5,6,4,4,2,4,1,2,1,2,0,0,1,2,3,3,2,2,1,4,2,0,2,2
"Sgk3",0,1,0,2,0,1,1,2,1,0,2,0,3,0,3,0,1,1,1,0,1,1,0,2,1,1,1,0,4,2,0,0,0,2,0,2,0,1,2,0,2,1,1,1,1,1,2,3,0,0,0,0,0,0,1,0,1,1,3,0,0,1,1,1,0,1,0,0,1
"Cspp1",0,0,1,1,1,0,0,0,0,1,3,0,0,0,0,2,1,0,4,2,4,1,1,1,2,0,0,0,0,1,1,0,2,2,0,1,1,0,2,1,1,1,3,2,1,0,2,1,0,2,1,4,0,6,2,2,0,1,1,0,0,0,0,0,0,1,0,1,3
"Arfgef1",0,1,1,1,1,2,0,1,3,3,0,0,1,2,5,0,2,1,0,0,0,3,1,0,2,0,3,1,0,1,0,1,1,0,1,0,1,2,0,1,2,0,0,1,2,0,1,1,1,1,0,1,0,0,2,1,0,3,3,2,1,0,2,0,0,1,4,2,1
"Slco5a1",0,4,5,1,3,0,1,0,0,4,0,0,1,0,1,3,3,2,4,2,1,0,0,2,2,0,1,0,2,2,1,1,4,2,0,0,0,0,2,0,0,0,0,1,3,3,3,1,0,1,1,1,2,0,2,0,0,0,1,1,5,2,2,0,4,2,3,2,4
"Kcnb2",0,1,1,1,2,0,1,3,0,2,2,0,1,2,1,4,0,1,0,3,0,4,2,1,0,1,3,0,3,1,0,0,2,1,0,0,2,1,0,0,0,2,2,3,3,1,4,2,2,1,3,3,0,2,3,1,0,3,1,2,0,0,3,0,1,1,0,1,1
"Rdh10",0,0,1,2,1,1,0,1,0,1,1,2,2,0,0,5,1,5,2,0,1,1,3,3,1,1,2,0,3,1,0,2,0,1,0,0,2,1,0,2,1,1,0,1,2,1,0,4,1,4,0,0,1,1,0,2,1,4,2,0,0,0,1,1,3,1,0,0,0
