"","spot_1","spot_2","spot_3","spot_4","spot_5","spot_6","spot_7","spot_8","spot_9","spot_10","spot_11","spot_12","spot_13","spot_14","spot_15","spot_16","spot_17","spot_18","spot_19","spot_20","spot_21","spot_22","spot_23","spot_24","spot_25","spot_26","spot_27","spot_28","spot_29","spot_30","spot_31","spot_32","spot_33","spot_34","spot_35","spot_36","spot_37","spot_38","spot_39","spot_40","spot_41","spot_42","spot_43","spot_44","spot_45","spot_46","spot_47","spot_48","spot_49","spot_50","spot_51","spot_52","spot_53","spot_54","spot_55","spot_56","spot_57","spot_58","spot_59","spot_60","spot_61","spot_62","spot_63","spot_64","spot_65","spot_66","spot_67","spot_68","spot_69"
"Inf2",2,2,3,2,1,0,0,5,6,6,4,1,6,2,1,0,3,2,6,5,2,3,4,3,2,6,1,2,1,2,6,4,2,2,4,3,4,4,3,5,7,5,4,2,5,3,5,4,2,10,3,3,6,4,1,1,0,6,6,4,4,8,4,5,5,7,8,8,8
"Akt1",1,2,2,4,0,1,1,1,2,3,4,4,0,1,4,2,1,3,2,0,1,3,1,2,2,2,2,1,5,3,1,2,3,5,2,1,2,2,2,2,4,3,2,1,2,0,1,5,3,1,6,5,2,3,3,3,1,2,2,3,3,1,4,1,1,1,3,2,2
"Cdca4",0,0,1,1,1,0,1,0,2,2,2,2,0,5,4,1,1,0,3,6,1,0,1,0,2,2,3,2,0,1,1,1,2,1,3,0,1,3,3,1,1,0,2,1,1,0,2,1,2,2,1,2,2,2,4,0,1,1,0,1,0,1,0,1,2,2,2,2,0
"Jag2",0,1,1,1,2,0,2,2,2,0,1,1,1,2,2,2,1,1,1,2,1,0,4,0,3,3,5,1,0,1,1,1,3,2,1,1,0,1,0,0,1,0,2,6,1,1,3,0,2,2,0,2,1,1,1,0,0,2,3,1,4,2,1,2,1,1,1,2,0
"Btbd6",0,1,1,2,1,0,1,2,1,2,0,0,1,5,1,2,0,3,3,1,3,2,0,3,3,1,3,0,2,4,1,1,0,0,2,5,2,3,0,1,2,3,2,5,1,5,4,2,4,2,1,1,2,0,4,1,0,3,4,1,1,3,3,0,0,4,3,3,6
"Mta1",0,8,8,10,6,1,2,4,6,6,4,3,4,1,4,8,5,7,7,7,5,12,4,9,3,4,4,1,7,4,7,5,10,5,1,4,6,3,5,5,5,2,8,8,15,6,7,3,6,5,7,4,5,10,9,1,3,2,5,6,6,3,4,4,6,9,5,7,4
"Tmem121",0,0,3,3,4,2,0,2,2,1,1,0,1,1,1,2,0,3,3,3,3,0,5,3,2,2,3,0,2,2,4,4,2,0,3,3,5,4,2,4,1,6,1,1,4,1,5,2,4,4,3,4,1,5,3,2,1,5,4,4,0,2,4,5,5,2,6,2,0
"Wdr60",0,4,3,1,2,2,0,2,0,1,2,3,1,2,5,6,4,4,5,1,2,1,3,4,2,6,4,0,2,3,2,5,3,4,2,2,3,1,2,0,4,0,4,3,3,3,5,2,2,2,5,2,3,3,4,0,0,2,0,2,1,2,2,4,2,2,4,4,0
"Esyt2",0,1,2,3,1,0,2,2,1,2,1,1,0,0,3,2,6,2,1,0,1,3,2,1,1,1,2,0,1,2,0,2,0,1,0,0,1,1,1,2,3,2,3,1,0,1,0,1,1,2,2,1,1,0,0,0,1,1,1,3,0,1,1,1,2,2,2,0,1
"Ncapg2",0,1,1,0,1,0,0,1,2,0,2,0,1,1,1,0,3,2,1,1,2,1,2,2,0,0,1,0,1,2,1,1,0,2,0,1,1,1,1,2,1,0,3,4,0,3,3,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,3
"Rapgef5",0,0,2,3,2,3,1,0,2,1,2,3,2,1,1,2,5,3,4,0,1,3,1,2,1,3,1,0,6,3,5,2,2,6,1,2,3,1,4,1,2,0,5,1,4,1,1,2,4,2,4,5,1,1,1,0,0,2,2,0,2,0,1,0,3,4,2,1,3
"Cdca7l",0,0,1,0,1,0,1,2,1,2,0,0,1,0,1,1,1,2,4,1,4,0,0,3,6,0,1,1,2,3,0,1,4,1,5,4,0,1,2,0,2,2,1,0,0,0,1,0,1,4,1,1,2,2,4,0,0,2,0,0,0,0,0,3,1,0,1,2,0
"Macc1",0,2,0,0,0,0,1,0,0,0,0,1,4,3,2,0,2,1,0,0,1,1,0,1,1,2,0,0,2,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,1,0,1,1,2,0,0,0,0,1,0,0
"Tmem196",0,6,3,6,3,0,1,4,1,7,0,1,2,2,3,2,3,2,2,1,4,4,3,5,1,4,3,4,6,3,2,6,0,2,2,2,1,3,1,1,2,5,2,5,8,2,0,2,2,2,2,2,2,2,2,0,2,2,6,3,0,5,2,0,1,4,7,4,1
"Calml3",0,0,1,1,2,1,2,3,3,3,1,0,1,2,1,0,1,2,3,3,0,1,0,1,1,0,1,1,2,2,0,2,1,2,1,0,2,1,2,1,1,1,2,1,0,4,0,2,1,0,1,1,1,1,3,2,0,0,1,1,2,0,1,2,1,2,1,1,0
"Pitrm1",0,3,1,4,1,3,2,5,4,3,2,2,5,4,2,1,6,6,3,3,1,4,2,1,2,2,2,1,3,6,3,2,5,2,5,1,6,5,3,3,1,3,2,3,3,2,3,6,4,4,0,1,3,4,3,1,0,8,1,3,3,1,3,2,1,6,0,5,3
"Gtpbp4",0,1,5,1,0,0,0,0,0,1,2,0,2,0,0,5,2,0,0,1,1,1,0,2,0,1,1,0,2,0,3,1,0,3,3,1,1,0,1,0,0,1,0,2,2,0,0,2,0,3,1,2,1,3,2,0,0,1,1,1,0,0,2,2,0,0,1,2,0
"Larp4b",2,0,1,4,2,0,0,3,1,1,4,3,4,1,2,3,2,0,2,2,5,3,3,2,1,5,2,0,3,2,1,3,2,6,1,4,5,3,2,2,2,2,4,2,3,3,5,5,3,4,5,1,0,2,5,0,2,1,0,6,4,0,6,3,5,0,3,3,2
"Dip2c",0,5,2,0,0,0,0,6,3,3,1,0,1,0,1,1,1,2,5,3,1,2,2,3,2,1,4,0,2,1,3,8,1,2,3,2,2,2,3,3,2,0,1,2,0,1,3,1,4,2,1,1,2,3,1,2,1,1,3,2,2,0,5,3,0,6,5,1,4
"Gm10336",0,1,1,3,1,0,2,0,1,1,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,1,0,2,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,2,0,2,0,1,3,3,1,0,1,1,0,1,0,3,1
"Mtr",0,0,1,0,0,0,1,1,1,2,0,0,1,2,1,3,2,1,1,1,0,1,0,1,2,2,1,0,2,1,2,3,3,1,0,2,2,2,0,1,1,1,1,0,0,1,2,0,1,4,3,0,3,0,2,2,0,0,1,0,3,1,3,0,0,2,2,1,2
"Actn2",0,3,1,1,5,2,1,0,1,1,2,1,1,2,2,3,2,0,4,1,1,0,1,0,1,2,0,0,1,2,0,2,0,2,1,1,1,2,0,2,4,0,2,1,1,2,0,2,1,1,0,0,0,0,2,1,0,1,2,0,2,0,2,0,3,3,2,0,0
"Heatr1",0,4,1,1,0,0,0,0,0,0,0,2,1,0,1,2,0,1,2,1,1,4,2,0,0,2,0,2,1,1,0,1,1,1,1,0,2,0,3,1,1,0,3,2,2,0,0,2,0,4,0,1,0,0,1,0,0,1,3,2,1,0,1,1,1,3,0,2,0
"Lgals8",0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,0,2,0,2,0,1,1,1,0,0,2,1,1,2,0,0,2,0,0,5,0,2
"Gpr137b",0,2,3,1,1,0,0,1,1,1,1,2,0,2,1,1,4,3,0,1,0,0,1,4,2,3,2,0,2,0,2,2,2,2,3,0,3,1,1,1,1,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1
"Lyst",0,1,2,0,2,0,2,1,1,2,2,1,1,0,0,2,1,0,0,2,2,3,1,0,0,1,1,2,1,1,3,0,2,4,0,0,1,3,1,1,2,0,2,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,2,1,1,1,1,0,2,1,0,1,1
"B3galnt2",0,1,0,0,1,1,0,0,2,0,1,0,0,0,1,1,0,0,2,3,0,0,1,0,0,0,2,1,0,3,2,2,0,1,1,0,0,1,0,1,0,0,2,0,0,2,0,0,0,1,1,1,1,2,0,0,0,2,0,3,1,1,0,1,1,2,1,2,0
"Arid4b",0,1,0,0,1,0,0,1,0,4,3,0,0,0,0,2,1,0,0,0,1,0,3,0,1,2,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,3,0,0,1,0,1,0,0,0,2,0,1,0,3,3,0,2,1,0,1,0,0,0
"Gli3",0,2,1,2,1,0,1,2,0,1,1,0,1,2,0,1,1,0,1,1,0,2,0,2,0,2,0,5,2,2,0,3,2,1,2,1,1,2,0,1,0,3,0,0,1,1,1,0,1,1,3,2,0,0,0,0,0,2,4,2,1,0,2,2,1,0,1,2,4
"Cdk13",0,2,1,2,2,1,0,3,3,3,5,0,1,1,2,0,2,4,1,3,1,1,1,0,3,2,0,0,2,4,1,1,0,0,2,2,0,2,2,3,2,0,2,2,1,1,0,1,1,2,2,1,2,0,1,0,0,2,3,1,1,0,2,0,1,3,3,2,1
"Pou6f2",0,0,1,1,2,2,1,0,0,2,1,2,1,0,3,1,2,3,1,2,1,1,0,1,0,3,1,2,2,5,2,1,1,3,2,2,3,2,0,3,3,0,3,1,2,2,1,0,4,2,4,1,0,1,2,0,0,1,4,2,1,2,4,2,4,2,2,1,1
"Vps41",0,0,1,1,0,0,1,2,0,0,1,1,2,2,2,5,0,3,0,2,0,3,2,0,2,2,3,0,0,3,3,4,1,3,2,1,3,1,5,1,0,1,0,0,1,3,0,2,2,1,3,2,3,4,5,0,0,1,1,6,1,2,2,3,0,4,1,4,3
"Amph",0,3,2,3,4,1,5,6,4,8,9,5,5,3,2,2,6,8,6,2,12,5,4,9,10,9,8,0,3,5,4,5,11,7,6,11,8,5,11,6,5,0,7,5,5,5,5,8,5,9,8,10,11,6,14,4,1,6,10,8,5,3,12,9,6,6,5,7,0
"Trim27",0,3,1,1,1,0,0,1,1,2,4,2,0,2,2,0,2,3,1,4,0,0,2,1,3,2,3,0,0,1,0,1,1,2,1,3,0,1,0,4,2,4,2,0,2,2,2,3,3,1,0,2,3,2,3,2,0,1,1,3,1,1,1,1,1,0,2,1,0
"Zscan12",0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,2,2,0,0,1,0,2,0,1,0,0,0,2,1,0,1,4,1,1,1,1,0,1,0,0,0,1,1,2,1,2,1,1,0,0,0,0,0,0,0,1,1,3,2,1,1,2,0,1,1,2,1,3
"Pgbd1",0,1,1,1,0,0,3,1,2,2,2,0,1,2,0,0,1,2,4,1,2,3,1,1,2,2,2,1,0,1,1,1,1,0,0,0,2,2,2,2,0,0,0,1,1,1,3,0,1,0,1,1,0,0,0,0,1,2,0,2,1,0,0,2,0,1,4,3,1
"Zscan26",0,0,4,3,1,2,1,4,1,1,0,1,1,0,1,0,1,2,1,0,0,0,4,2,3,1,2,1,2,2,2,1,0,0,0,0,1,0,2,0,1,1,2,0,1,0,1,3,1,1,1,1,2,1,0,1,1,0,1,0,3,0,2,1,0,0,0,2,1
"Nkapl",0,6,4,1,1,0,2,0,2,1,1,0,0,0,5,1,2,2,2,5,1,2,1,1,2,1,1,0,1,2,0,1,0,2,3,0,1,1,2,0,1,1,4,2,4,0,0,0,0,3,0,0,1,1,1,4,0,0,3,1,2,0,0,0,1,4,0,0,2
"Zkscan4",0,1,1,1,0,0,1,3,4,1,0,0,2,0,2,0,1,1,1,2,2,0,2,1,2,1,0,1,1,1,3,2,1,3,0,2,2,0,1,1,0,0,0,0,2,0,0,0,0,2,0,2,3,3,2,2,1,1,3,1,1,1,2,2,0,0,0,1,0
"Zfp322a",0,3,0,0,4,0,1,1,0,0,4,0,0,2,1,1,0,3,2,2,2,3,1,2,2,1,1,1,1,0,2,0,1,2,1,1,1,3,2,2,4,0,1,0,4,3,1,1,3,2,2,1,1,1,4,1,1,2,1,3,1,2,3,4,1,3,3,3,2
"Abt1",0,0,4,1,1,3,0,3,0,1,2,2,1,2,1,3,1,3,1,0,2,1,4,1,4,1,2,0,0,1,4,3,2,1,4,3,1,3,2,3,4,0,2,3,0,1,4,0,3,1,2,1,2,2,5,0,2,3,2,2,5,2,2,2,1,4,4,1,2
"Cmah",0,3,2,0,2,0,1,0,0,1,0,1,2,0,0,1,1,1,1,3,0,4,0,2,0,1,2,0,1,0,0,0,0,2,2,0,2,0,1,0,3,0,1,1,1,2,0,2,0,1,2,1,1,1,3,1,0,4,0,2,0,1,0,1,1,1,3,0,1
"Gpld1",0,1,4,1,1,0,1,0,0,1,1,0,3,3,0,2,1,1,0,0,0,0,2,1,2,1,2,2,0,1,0,2,2,0,1,5,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,5
"Mrs2",0,2,1,2,3,2,1,3,2,2,3,2,2,0,1,3,1,1,1,1,1,3,1,2,2,0,3,3,2,2,0,3,0,2,5,3,2,1,3,5,2,0,1,2,2,2,0,0,1,3,2,0,1,2,2,0,2,3,2,1,2,0,1,4,2,1,3,1,2
"E2f3",0,2,0,2,2,3,1,1,0,1,1,1,3,1,2,3,0,1,2,3,0,0,1,2,1,2,0,1,2,1,2,0,2,2,2,1,3,3,1,2,4,2,1,2,1,2,1,2,3,1,3,2,2,1,2,1,3,1,0,0,4,1,2,2,1,2,0,1,1
"Exoc2",0,1,1,0,1,2,0,2,0,1,1,2,4,2,0,2,0,2,4,0,1,0,2,0,0,4,4,2,0,0,0,2,0,1,1,0,0,1,0,1,1,0,4,2,1,1,0,2,2,2,0,2,3,1,3,0,0,3,0,0,1,2,1,1,1,1,1,4,0
"Wrnip1",2,8,7,6,5,0,2,3,5,5,5,3,2,2,6,5,6,4,5,4,3,3,4,4,6,5,7,6,5,4,7,8,10,5,3,2,3,0,2,5,3,3,10,9,5,5,8,1,5,5,3,4,3,4,7,3,1,9,7,6,4,1,6,6,4,2,2,3,4
"Nqo2",0,0,1,1,0,2,0,1,1,1,0,1,2,0,1,2,1,0,0,0,0,0,0,3,4,0,2,0,2,0,0,1,0,1,1,2,0,0,0,1,3,0,0,0,0,2,0,2,2,0,1,2,0,2,0,0,0,2,0,4,0,0,0,1,1,0,0,0,1
"Ripk1",0,3,1,1,1,0,0,2,2,2,1,0,1,0,0,2,1,1,1,1,1,3,0,2,0,1,0,0,2,2,2,0,1,2,3,0,2,3,2,0,0,3,0,0,1,1,1,0,1,2,0,2,2,2,4,0,0,3,1,2,1,1,3,1,5,0,1,0,2
"Prpf4b",0,3,1,5,0,0,0,0,2,1,3,1,4,1,1,1,1,4,2,2,0,5,1,2,2,3,1,0,1,2,3,1,0,1,2,1,1,0,3,2,2,1,1,2,1,4,0,2,3,1,3,3,1,1,0,2,0,4,4,0,4,1,1,3,2,1,3,0,0
"Cdyl",0,2,0,1,2,0,1,0,1,1,0,0,1,1,1,1,1,4,1,2,0,0,2,1,2,3,1,1,1,4,0,1,3,1,0,1,2,2,1,3,0,3,1,0,1,0,0,1,0,3,1,2,0,3,1,0,0,0,1,3,1,0,1,0,4,0,3,3,1
"Rpp40",0,1,0,0,1,0,1,1,3,1,3,0,0,1,0,2,3,3,0,1,1,0,1,1,1,0,1,0,1,2,4,1,1,3,1,2,1,1,1,1,0,0,3,4,2,2,0,2,2,0,2,1,2,0,1,0,0,1,0,3,0,0,1,2,0,1,1,1,1
"Ppp1r3g",0,2,1,4,4,0,1,2,3,1,4,0,4,1,3,0,1,0,3,2,3,1,1,0,2,2,0,2,4,0,2,2,0,1,3,1,2,4,2,4,0,5,1,0,2,0,1,3,2,1,2,2,1,1,0,1,1,1,1,1,1,1,1,0,3,0,2,2,1
"Ssr1",0,0,0,2,1,0,1,1,0,0,2,0,2,1,0,1,1,0,0,5,0,1,3,1,2,1,0,2,1,2,0,1,1,0,0,2,0,0,2,1,1,3,2,3,1,1,0,1,4,0,1,2,1,0,0,2,0,0,3,0,3,1,3,2,3,4,1,0,1
"Cage1",1,2,3,3,2,1,0,0,0,1,3,1,0,0,2,0,0,3,2,2,2,0,0,2,0,0,0,0,0,2,0,0,2,2,0,1,2,2,0,1,0,2,0,0,0,0,1,3,0,0,0,1,3,0,0,1,0,1,2,0,0,2,1,5,0,1,0,0,1
"Riok1",0,1,0,1,2,0,0,1,2,1,2,0,3,0,2,2,3,1,1,1,0,0,2,0,1,0,0,3,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,2,0,2,0,1,1,0,0,0,2,2,1,0,0,0,1,3,0,1,0,0
"Txndc5",0,0,2,0,0,2,1,0,0,4,2,2,1,2,5,0,0,1,2,0,2,1,1,3,4,0,0,1,1,4,1,4,4,2,0,1,3,1,5,1,1,0,0,2,0,4,1,0,1,3,1,4,2,0,2,4,1,2,2,4,0,0,0,0,3,0,0,3,3
"Bloc1s5",0,2,0,0,3,2,0,1,3,1,1,0,0,2,1,3,3,1,3,0,1,2,1,3,4,0,0,0,0,2,0,0,1,0,0,2,0,2,2,3,0,0,2,3,1,3,2,0,1,2,1,1,2,2,2,0,0,2,1,0,3,0,1,0,3,1,2,3,0
"Gcnt2",0,0,1,2,0,2,0,1,0,4,1,1,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,2,2,2,2,1,0,2,3,2,1,0,0,0,1,0,1,1,2,1,1,2,1,0,2,0,2,2,0,0,0,0,5,0,0,1,1,1,2,2,1,2
"Pak1ip1",0,1,3,1,1,0,1,1,4,3,3,0,1,2,3,1,1,3,0,4,2,1,0,3,3,1,2,1,1,2,3,2,3,1,3,0,1,2,0,0,4,1,1,2,4,2,3,0,2,3,0,2,4,3,6,2,1,2,2,3,1,1,2,4,2,1,5,4,0
"Mak",0,2,2,0,1,0,0,0,0,0,1,2,2,1,2,2,0,1,1,1,0,1,0,1,2,1,2,0,2,0,0,0,1,1,0,0,1,0,0,1,2,0,2,0,2,1,0,2,0,0,0,2,0,1,2,2,1,2,1,0,0,0,1,1,0,1,2,2,0
"Tmem170b",0,1,1,3,2,1,1,1,3,6,1,4,0,0,6,2,8,2,4,1,6,5,3,2,4,1,2,2,1,5,2,2,2,1,2,2,1,1,1,3,4,1,2,4,2,2,3,3,1,4,2,1,1,0,3,5,1,3,2,3,0,1,1,2,1,6,2,2,2
"Gfod1",0,0,1,3,1,2,0,1,0,2,4,1,1,0,3,2,2,0,1,0,5,2,3,2,2,4,0,1,2,1,0,3,2,1,2,1,0,2,6,3,2,2,0,1,4,3,2,3,2,6,3,3,2,5,3,0,0,1,1,0,0,2,1,0,1,4,1,5,2
"Rnf182",0,1,1,1,4,0,0,1,2,0,1,0,3,0,1,0,1,0,1,1,0,0,0,1,1,1,0,2,2,2,0,1,3,1,2,0,0,1,0,0,0,0,0,3,2,1,0,2,1,0,0,2,0,1,1,0,0,1,0,2,1,2,1,3,2,3,1,0,1
"Jarid2",0,2,2,4,4,0,0,2,3,3,7,1,2,2,3,11,3,2,0,3,4,0,1,1,1,6,2,0,1,2,3,2,2,5,2,5,2,3,1,5,4,3,5,2,4,11,2,3,2,1,1,3,2,3,1,0,0,2,4,1,5,4,0,1,2,1,5,1,1
"Mylip",1,0,3,2,0,0,1,2,2,0,3,0,3,2,1,4,1,1,1,2,0,2,0,1,3,1,2,1,2,0,2,0,2,3,3,6,2,1,0,0,2,1,2,0,3,1,0,2,2,5,2,1,3,2,3,0,1,1,2,5,0,2,0,0,1,0,1,0,1
"Rbm24",0,0,2,2,6,1,0,2,1,0,1,0,3,0,3,3,2,2,1,1,3,0,2,4,1,0,2,0,3,1,4,1,3,1,3,1,1,1,2,1,1,1,4,2,1,0,2,3,2,0,3,5,1,6,1,1,2,3,5,0,2,0,0,2,2,2,1,1,0
"Nup153",0,1,0,2,4,0,0,1,1,0,0,0,0,0,2,0,2,2,1,0,2,0,2,1,0,0,1,0,2,2,2,0,1,2,2,0,0,1,1,0,1,1,2,0,1,1,0,1,1,0,2,0,1,0,1,0,0,3,1,1,0,0,0,1,0,0,4,3,2
"Kdm1b",0,0,0,0,2,1,0,1,1,0,1,2,2,2,0,0,0,0,0,1,4,0,1,0,0,2,2,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,1,0
"Rnf144b",0,2,1,0,2,0,0,2,1,3,0,2,0,2,1,0,0,2,1,0,1,2,1,0,1,2,1,0,3,0,2,2,1,0,2,0,1,0,0,1,0,2,2,0,2,1,3,1,0,1,0,2,1,1,0,1,0,1,0,0,2,1,1,4,1,2,1,0,1
"Phf2",2,5,0,3,2,0,1,2,1,3,2,1,2,6,2,2,3,5,3,4,3,5,5,2,6,2,2,2,3,5,5,0,3,4,3,1,4,3,2,1,4,3,5,0,7,2,2,4,3,3,5,1,2,2,4,3,0,4,1,2,1,0,2,3,3,5,6,4,1
"Fam120a",0,6,9,6,8,6,4,6,6,6,5,6,1,1,5,10,6,3,5,7,4,7,10,3,5,6,8,2,4,6,6,4,7,10,5,9,9,8,8,7,6,3,6,10,2,7,9,7,7,7,4,7,2,7,7,5,2,7,4,7,9,4,9,14,8,6,8,3,9
"Wnk2",0,0,0,1,1,2,0,4,4,1,4,0,2,4,1,3,6,0,5,4,4,3,6,2,1,3,6,4,3,2,1,2,3,3,1,5,2,4,4,6,6,0,1,3,1,2,4,4,5,2,7,3,4,7,8,2,0,5,4,6,6,1,6,2,2,2,3,5,7
"Fgd3",0,0,1,1,4,1,2,0,0,0,1,0,3,1,2,1,1,3,0,1,3,0,0,1,0,2,3,0,2,1,1,2,0,1,2,3,3,6,0,1,3,1,0,2,1,3,2,1,0,1,1,4,2,0,0,0,0,1,1,2,3,1,1,3,4,0,3,4,4
"Bicd2",0,2,1,0,2,1,1,3,2,1,3,3,4,2,1,3,0,0,3,3,3,4,5,4,1,5,2,1,1,2,2,3,8,2,4,2,3,5,4,2,2,1,7,1,3,2,4,3,3,3,1,3,0,1,6,0,0,3,1,2,2,3,1,4,4,1,3,4,0
"Ippk",0,1,0,3,1,0,3,4,0,0,2,1,1,1,1,0,5,0,1,1,1,2,0,0,2,0,1,0,1,2,1,1,0,2,0,2,2,3,1,0,2,0,0,1,1,2,0,0,3,2,1,5,3,2,1,0,0,0,1,0,2,1,3,1,3,4,1,2,2
"Nol8",0,1,0,0,1,0,1,0,1,0,0,0,0,1,2,0,3,2,3,0,0,1,1,0,0,2,1,0,2,1,0,1,1,0,0,0,1,0,1,2,0,0,2,2,0,1,0,1,0,0,2,3,1,5,1,0,0,0,0,0,3,0,0,0,1,0,2,1,0
"Iars",0,1,4,3,4,2,2,3,3,2,3,4,1,1,4,3,2,1,1,5,5,2,5,4,3,0,5,0,4,3,2,3,4,1,4,3,6,6,4,3,2,1,3,1,0,2,2,3,0,1,1,1,1,2,4,0,0,4,1,3,3,4,0,3,1,4,0,2,2
"Fbxw17",0,3,3,0,0,0,0,2,0,0,1,3,1,0,0,1,0,0,1,0,0,1,2,3,2,0,1,0,2,1,1,0,0,2,0,0,2,2,0,3,0,0,1,2,1,0,1,1,0,2,2,2,3,2,2,0,1,1,0,3,0,0,1,0,0,0,0,1,0
"Spin1",0,1,0,1,4,0,0,2,1,2,1,1,3,0,2,2,2,2,0,1,4,6,1,4,2,3,3,3,3,0,2,3,0,0,2,1,1,2,1,2,1,2,2,0,1,5,0,0,0,0,1,1,0,2,2,1,0,1,1,3,2,0,0,2,4,0,3,5,3
"S1pr3",0,3,3,1,3,0,1,1,2,0,4,1,1,2,4,1,0,3,4,1,0,1,1,2,2,4,2,5,1,0,0,1,3,0,1,1,1,0,0,4,3,1,1,3,0,1,2,1,2,1,5,1,1,2,2,1,0,5,2,3,2,1,2,1,0,2,4,1,0
"Shc3",0,2,4,5,3,6,3,1,4,4,6,5,6,6,10,4,11,5,3,3,7,7,7,7,7,9,4,3,3,3,6,3,6,9,5,4,5,5,5,2,3,0,4,4,5,7,6,9,8,6,5,2,14,8,9,1,2,8,4,6,7,4,6,7,8,3,5,9,5
"Secisbp2",1,2,2,3,0,1,2,0,6,2,0,1,1,1,1,3,2,3,3,0,0,2,1,2,1,2,1,0,1,2,0,1,3,3,2,1,3,1,3,2,2,3,3,0,2,1,0,1,1,1,2,1,0,2,0,1,1,2,1,4,3,2,0,5,2,0,2,1,0
"Syk",0,2,1,2,0,0,2,3,2,0,2,1,1,2,1,5,1,1,3,1,3,0,1,1,0,0,1,0,2,1,1,1,2,3,0,3,3,2,3,2,2,0,3,5,0,4,1,2,3,4,3,4,0,2,0,1,1,5,2,3,6,2,3,1,3,2,3,3,1
"Nfil3",0,3,2,1,1,3,0,2,2,3,1,0,2,2,1,3,4,2,0,0,4,1,2,2,2,0,2,1,3,2,1,1,0,0,0,0,2,3,2,1,3,1,1,3,2,1,3,0,1,0,1,3,3,2,3,2,0,4,7,1,1,0,2,1,3,4,2,3,1
"Sptlc1",0,0,4,0,4,0,2,0,1,0,1,0,0,0,1,1,2,1,1,2,1,5,2,1,1,0,4,1,2,1,3,3,1,3,3,0,1,1,1,1,0,0,1,3,2,0,0,0,3,4,3,1,3,0,0,0,0,4,1,3,1,1,0,2,3,2,3,1,1
"Hrh2",0,2,2,5,3,1,2,0,1,1,0,0,1,1,1,0,1,3,0,2,5,3,3,0,0,1,1,0,0,2,2,2,1,7,2,3,3,1,1,2,2,0,3,4,2,3,2,2,4,2,0,4,1,1,5,0,0,2,0,0,3,1,2,2,2,3,3,2,0
"Simc1",0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,3,2,1,0,1,0,0,1,2,1,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,5,1,0,2,2,3,0,0,1,0,2,1,1,2,0
"Faf2",0,1,1,3,2,0,1,1,2,3,0,0,0,1,2,0,1,0,3,1,2,2,3,0,5,4,2,1,1,3,3,2,1,2,1,0,2,0,1,2,1,2,1,6,2,0,3,2,4,4,3,3,4,6,0,1,0,1,4,2,0,1,3,0,4,1,3,2,3
"Zfp346",0,0,1,0,0,0,0,2,0,3,3,0,2,2,2,3,0,1,3,3,0,1,3,2,0,1,3,0,0,2,1,1,3,6,0,0,1,2,1,0,2,0,1,0,0,0,3,3,1,1,0,4,1,0,5,0,0,1,1,2,0,3,2,2,4,4,0,3,2
"Nsd1",0,3,3,0,3,1,1,3,1,5,4,1,1,1,3,1,2,1,6,2,4,5,4,9,3,2,1,2,5,4,1,0,1,3,3,3,4,4,0,3,1,2,2,3,3,1,5,3,4,3,6,5,3,2,2,1,0,2,3,5,6,3,4,2,3,7,4,5,4
"Rab24",0,3,4,3,7,3,1,2,4,3,3,1,1,3,8,3,5,4,3,4,4,5,4,1,3,3,1,1,0,5,4,3,4,5,5,6,9,3,5,3,1,4,8,5,6,3,6,5,5,3,3,4,1,2,3,1,4,3,6,3,1,1,4,4,3,2,3,2,3
"Lman2",0,3,1,1,0,0,1,2,0,2,2,0,0,1,0,0,2,0,4,0,1,2,0,1,3,5,1,0,2,1,0,0,0,0,2,1,2,0,1,0,4,2,0,0,3,1,5,1,0,0,3,2,2,1,2,2,0,2,2,2,2,1,1,1,4,1,0,0,4
"F12",0,0,0,2,1,0,2,2,2,1,1,1,2,1,0,3,2,1,0,1,0,1,1,2,3,1,1,2,0,3,1,0,1,1,1,1,2,0,3,3,3,0,1,0,1,0,0,1,3,3,0,2,2,0,1,0,0,2,1,0,1,3,1,2,0,2,2,1,0
