,Olig,astrocytes,eNeuron,endo_mural,iNeuron,microglia
spot_40,0.10004618512872551,0.24633660772853178,0.22831762647949902,0.1831703532449358,0.0822748106522032,0.1598544167661046
spot_41,0.06871317132738855,0.17928742454767255,0.24824190399963708,0.22861024269724212,0.10928787155270245,0.16585938587535728
spot_42,0.053958121742457614,0.3545580986569554,0.060270377309636004,0.1627415126385053,0.1543410264644246,0.21413086318802102
spot_43,0.052753771139879016,0.20027850709851971,0.19528019720741963,0.21560507054392175,0.15599025605919364,0.18009219795106635
spot_44,0.05761534008674984,0.1961222557514256,0.25249725739090495,0.2182117856820345,0.08764275094872764,0.18791061014015742
spot_45,0.05667338095416557,0.1668221068255355,0.32323892852648567,0.19720067595781499,0.10020984675147564,0.15585506098452276
spot_46,0.046323388127863525,0.21750220070316392,0.24896676903765239,0.2525147255101205,0.1134700944794294,0.12122282214177026
spot_47,0.04705637183601705,0.23745586914574635,0.2704049036651074,0.1811590145238641,0.09872645061756502,0.16519739021170007
spot_48,0.05746529603698298,0.16607029500144133,0.2870322734093641,0.15507433272923712,0.20348461276196686,0.13087319006100767
spot_49,0.07468370789395051,0.20357656594760887,0.28059402863947863,0.15505289677607673,0.15810419579681156,0.12798860494607356
spot_50,0.0457188322177998,0.1956146615877023,0.2988281531930698,0.17515134745362496,0.15655872247812802,0.12812828306967514
spot_51,0.05194337487891746,0.20115296774691502,0.24036480258257406,0.18090694826440248,0.1785476154729961,0.14708429105419507
spot_52,0.05043370074365479,0.19248466987392862,0.24523131957407676,0.1846948089932464,0.15317894772259108,0.1739765530925025
spot_53,0.05353283155651675,0.21605099871130987,0.26468572273236884,0.1959300217931584,0.10209083638202891,0.16770958882461717
spot_54,0.06363296871484665,0.22814683527080626,0.1998065367954087,0.2229558428837729,0.10691293687131757,0.17854487946384792
spot_55,0.07181003096426589,0.1875558223483711,0.17556044012185704,0.26335464330183495,0.1346958139380629,0.16702324932560816
spot_56,0.07093491202130958,0.20378301509940297,0.16242566077099463,0.2925644505685312,0.11237126483185582,0.1579206967079058
spot_57,0.08455328997731654,0.15326753342087485,0.25393346866798666,0.2184833334873383,0.11619294168574106,0.17356943276074252
spot_58,0.07506142519048695,0.21327732754015502,0.16175958493100318,0.23121065577553526,0.15194293186282945,0.16674807469999015
spot_59,0.06678787324409818,0.2262493379206547,0.22505848185980443,0.21039909901792103,0.11087153556850296,0.16063367238901882
spot_60,0.07228449545279746,0.2163285288026325,0.19985869091816638,0.22714115304363783,0.12159632031437959,0.16279081146838634
spot_61,0.23026091505805607,0.26258076607595876,0.08018532191317618,0.1986878416764439,0.07647699321686127,0.15180816205950382
spot_62,0.07652735816574219,0.18248680602952025,0.25773656184316895,0.2122696369758056,0.11234792645407635,0.15863171053168656
spot_63,0.11820095233068316,0.1802800163814326,0.2067600090396185,0.21156943191971142,0.1027638483298074,0.18042574199874672
spot_64,0.13266804254822684,0.1846346614268798,0.17016724098940744,0.2435423495068079,0.10002958605105813,0.16895811947762004
spot_65,0.2670409661006843,0.214034469892292,0.11802414031053018,0.16176585054397696,0.0911899464596132,0.14794462669290342
spot_66,0.0626529754413662,0.20381100934216098,0.2835119580453497,0.17359509795950243,0.11579988200702279,0.16062907720459782
spot_67,0.05628990451423655,0.1972205621440009,0.19237817186898426,0.2181714758039794,0.17065344737632868,0.16528643829247028
spot_68,0.058150679985767714,0.28798471875434617,0.23477700491811226,0.16628688796699123,0.10774993704309062,0.14505077133169197
spot_69,0.18462184726445982,0.31223790953810204,0.11372881392271093,0.17924299830882445,0.0938182612497705,0.1163501697161323
